leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,2-zNQeB31dqFDV02HAkoYsUr8McsF5vpy25Udv7GJz3Wn6Yh0RHzSASkGg,Incanabula,1024,157,126,False,False,True,True,mfZfhAa3Aok0TpRfah3w5OexrNvGZTvCEgDqxfRtTlsZwyWH6r9ofjGWincQonJk1cBWPDFG933P7Q
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,annQTzquqg_RhS-miaF4eeB2JJVBvmI8lzJUMjnyNhVZSXQ6eAXl39gK2A,alek young flu,1024,137,118,False,False,False,False,3y0ey7cuRCUFkwxlFfsruwfc2uy9zcfNs8aM98HfqnWkWcbaTbdo7GXP7td_C6-xEFXyJ7XQ9hEO-A
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,lEz0IpGeLBchqvLje1_-MLjGNqcYP8hlEgUf9S-EKIj3tWMecRr2c_94ow,RNG GALA 9,1024,111,94,False,False,False,False,WoiMKW_6--Tg4QU7YZ4ClCTCRk3ZeRrJ4o9H-a5RE7zMPq8edWd--8zEz36BTfNiR9qXz4p5X7gzSA
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,bcSjBWwZbL3W48no1OGprKOnxejOfFhdM5oFwQXiZPIO-F4,Zayco,1023,492,467,True,False,False,False,3A_zHPwTzhUjzkCy6joMIgoUnsVX70YiRwL8U-xbPi60SMYv5VW2EZ75stWGAMkPNLoLVjsKX35rnA
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,Oz4J46wAt1_pwrUrRAPe7a0Q2AdBZEl9EGPFlnv2-dw2,lI Leba Il,1023,274,249,False,False,True,True,MkyJ-Rq-R3tQt10t9d3PFToDrXW8SwxW2P7OpHwS0hyYfEN1fvTCLTCWO-ssN1dqEQ8nOXL8YdRQCw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,ezinPNiN3yBemwBEl29BZP9PliZx5cq717YfIduHcYreZ3g,Brum basic,1023,217,157,False,False,False,False,IH1TsLWgDxj7sGFC_rOv-rGxu2G-xP0SFsZQmAM0Zd3dtt49-zIbCiTl1lewCGAHoKO6twNP7IHxyw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,gi1Ub1paIgLydxk1qhRdq0BkV3WSH2kdYg4aYvsB9uA9H14,token kingdom,1022,283,252,False,False,True,False,bN88sRykd6OkSISWkoWILoKAKKHPh8zBTK1N2OhaqWzNXuDADjkNsJIcrnt-PnwcD4GIR0RZtjHOPg
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,9JF9wjv5Jed5Kga8m-bPEw7LqrPTVB6FsIU93GwrOSO63g,bbeNyusi,1021,165,146,False,False,True,False,XKnMp8is44OIuKH3u-Wff28rfds6I9R5LP1i-tC2dDwHR7U95poeaWejQEwoRA7vw_D14roFVjcgog
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,SCgWXuKAywp6cgHqwbuUdq7-emU5ABLrpPQlhAFCJM9qKoc,tank player kekw,1020,96,72,False,False,True,False,GosWQb3AD4qgP0B9kKG-AbtVcNsW0w-34Vyp8jtVL7BIwT4pxHjie3QuyWw2rcDIQPPmeuSO_ESb4A
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,3KkMJqBx7RXBAN5cpyKJv9ZZmyZQH01bHv7mhaRsBch4eg,RED Stoneses,1019,188,165,False,False,False,False,oV8R7f8d7cv0mAoUen0jKNTaLJVuN1x5sG2jSmdFy2x7wXi_Erdfx3SiuYNRgQNNSzB9QQmTvGP-Rg
